Map number,Total Path Length,Final Distance to Target,Minimum Distance to Obstacles,Total Control Effort,Average Computation Time per Iteration,Total Number of Iterations,Total Force Calculations,L2 Norm of Control Input Changes,Success
1,6.806483174330884,8.116591629269607,0.19049598737589368,160.44121736194563,6.917834281921386e-05,200,594,190.2851770407071,False
2,3.740092078858076,6.2235937912026555,0.42780721893738893,134.1768663413104,7.16555118560791e-05,200,552,1.7632316356686368,False
3,10.174758638349251,0.1386240289080079,0.4298451942928092,138.7105378058985,5.827735110027034e-05,164,208,3.8426974293353466,True
4,10.06018684677681,0.1491685263777207,0.4658282659458124,142.879110236214,5.858657003819257e-05,174,210,2.9423700498961853,True
5,12.916111044565648,0.1330373504507757,0.519844440649871,151.65246210346842,6.510661198542669e-05,156,238,176.10195611848323,True
6,13.63341928216241,5.1243035929902145,0.40382934570843343,198.0273647119784,7.705926895141601e-05,200,567,451.8378188489931,False
7,9.931255340834472,0.14950726522212007,0.43590746083828225,146.05232045442585,6.389088100857204e-05,180,291,4.182389565100447,True
8,14.32800250825312,2.7083660742909847,0.40835040496401986,192.4325931362999,7.128715515136719e-05,200,359,341.56797790036956,False
9,9.852267700378807,6.878988371332243,0.4403867589134922,175.89789469942656,7.376313209533691e-05,200,585,279.87050923908095,False
10,11.206051855660503,0.14497508890778518,0.47212908446697477,146.1018532079527,4.7506321044195266e-05,168,289,30.47325754675456,True
11,10.276982242488145,0.1083131884707586,0.2560607635143828,148.22082409143002,5.492297085848722e-05,176,354,8.983537277215545,True
12,7.915719516922034,0.05885631922176664,1.0626418609673043,79.86025506650083,4.3727733470775466e-05,81,81,0.014400563689241311,True
13,12.596095300907642,3.3850023509257796,0.48866546267120703,188.478036287031,6.291866302490234e-05,200,559,309.70262462599203,False
14,14.368802190538185,0.11665298634980731,0.3836478779590491,186.53407647396153,5.8036165189016896e-05,197,429,267.4393309753901,True
15,8.979957748714515,0.09633945305935965,0.4414505729199121,110.67649783217976,5.358505249023438e-05,125,201,2.943493865449486,True
16,14.721759365996926,6.908793496336353,0.46826596673948173,213.07267158198607,5.712032318115235e-05,200,551,564.3042005100336,False
17,10.637099742537483,0.09817484846164959,0.3583453308972928,136.70101361046423,4.884775947122013e-05,153,236,24.22149535511277,True
18,18.307475692394497,4.836387418507275,0.5130553039124384,235.96172471852321,5.9356689453125e-05,200,519,665.8668941331017,False
19,11.311584370439945,0.14268009931437556,0.45725321263738183,142.08947070891054,4.8005128208594984e-05,158,248,52.414822850753325,True
20,9.553349232645328,0.14931768765740192,0.5625447210449468,130.75897424955429,4.553794860839844e-05,157,187,2.369833617808524,True
